predator,prey,type
Dasyurus hallucatus,Chaeropus ecaudatus,predatorprey
Dasyurus hallucatus,Lagorchestes hirsutus,predatorprey
Dasyurus hallucatus,Macrotis lagotis,predatorprey
Dasyurus hallucatus,Notomys sp.,predatorprey
Dasyurus hallucatus,Orthoptera,predatorprey
Dasyurus hallucatus,Perameles eremiana,predatorprey
Dasyurus hallucatus,Taeniopygia guttata,predatorprey
Dasyurus hallucatus,Isodon auratus,predatorprey
Dasyurus hallucatus,Melopsittacus undulatus,predatorprey
Dasyurus hallucatus,Notoryctes caurinus,predatorprey
Dasyurus hallucatus,Ocyphaps lophotes,predatorprey
Dasyurus hallucatus,Petrogale lateralis,predatorprey
Dasyurus hallucatus,Tachyglossus aculeatus,predatorprey
Dromaius novaehollandiae,Acacia aneura,predatorprey
Dromaius novaehollandiae,Allocasuarina decaisneana,predatorprey
Dromaius novaehollandiae,Amyema sp.,predatorprey
Dromaius novaehollandiae,Canthium attenuatum,predatorprey
Dromaius novaehollandiae,Canthium latifolium,predatorprey
Dromaius novaehollandiae,Capparis loranthifolia,predatorprey
Dromaius novaehollandiae,Capparis umbonata,predatorprey
Dromaius novaehollandiae,Chenopodium curvispicatum,predatorprey
Dromaius novaehollandiae,Cynanchum floribundum,predatorprey
Dromaius novaehollandiae,Daucus glochidiatus,predatorprey
Dromaius novaehollandiae,Enchylaena tomentosa,predatorprey
Dromaius novaehollandiae,Endoxyla cinerea,predatorprey
Dromaius novaehollandiae,Eremophila longifolia,predatorprey
Dromaius novaehollandiae,Grevillea eriostachya,predatorprey
Dromaius novaehollandiae,Grevillea stenobotrya,predatorprey
Dromaius novaehollandiae,Grevillea wickhamii,predatorprey
Dromaius novaehollandiae,Hakea leucoptera,predatorprey
Dromaius novaehollandiae,Hakea suberea,predatorprey
Dromaius novaehollandiae,Leiolopisma metallicum,predatorprey
Dromaius novaehollandiae,Leiolopisma trilineatum,predatorprey
Dromaius novaehollandiae,Nitraria billardierei,predatorprey
Dromaius novaehollandiae,Plectrachne schinzii,predatorprey
Dromaius novaehollandiae,Ptilotus exaltatus,predatorprey
Dromaius novaehollandiae,Santalum acuminatum,predatorprey
Dromaius novaehollandiae,Tecticornia verrucosa,predatorprey
Dromaius novaehollandiae,Tetragonia eremaea,predatorprey
Dromaius novaehollandiae,Thyridolepis multiculmis,predatorprey
Dromaius novaehollandiae,Eremophila latrobei,predatorprey
Egernia kintorei,Blattodea,predatorprey
Egernia kintorei,Formicidae,predatorprey
Egernia kintorei,Plectrachne schinzii,predatorprey
Egernia kintorei,Scaevola parvifolia,predatorprey
Egernia kintorei,Senna sp.,predatorprey
Egernia kintorei,Solanum centrale,predatorprey
Egernia kintorei,Solanum chippendalei,predatorprey
Egernia kintorei,Solanum cleistogamum,predatorprey
Egernia kintorei,Solanum diversiflorum,predatorprey
Egernia kintorei,Solanum gilesii,predatorprey
Egernia kintorei,Solanum lasiophyllum,predatorprey
Egernia kintorei,Tetragonia eremaea,predatorprey
Egernia kintorei,Triodia basedownii,predatorprey
Egernia kintorei,Triodia longiceps,predatorprey
Egernia kintorei,Triodia pungens,predatorprey
Egernia kintorei,Yakirra australiensis,predatorprey
Egernia striata,Blattodea,predatorprey
Egernia striata,Camponotus inflatus,predatorprey
Egernia striata,Formicidae,predatorprey
Egernia striata,Plectrachne schinzii,predatorprey
Egernia striata,Scaevola parvifolia,predatorprey
Egernia striata,Senna sp.,predatorprey
Egernia striata,Solanum centrale,predatorprey
Egernia striata,Solanum chippendalei,predatorprey
Egernia striata,Solanum cleistogamum,predatorprey
Egernia striata,Solanum diversiflorum,predatorprey
Egernia striata,Solanum gilesii,predatorprey
Egernia striata,Solanum lasiophyllum,predatorprey
Egernia striata,Tetragonia eremaea,predatorprey
Egernia striata,Triodia basedownii,predatorprey
Egernia striata,Triodia longiceps,predatorprey
Egernia striata,Triodia pungens,predatorprey
Egernia striata,Yakirra australiensis,predatorprey
Egernia striolata,Blattodea,predatorprey
Egernia striolata,Camponotus inflatus,predatorprey
Egernia striolata,Formicidae,predatorprey
Egernia striolata,Plectrachne schinzii,predatorprey
Egernia striolata,Scaevola parvifolia,predatorprey
Egernia striolata,Senna sp.,predatorprey
Egernia striolata,Solanum centrale,predatorprey
Egernia striolata,Solanum chippendalei,predatorprey
Egernia striolata,Solanum cleistogamum,predatorprey
Egernia striolata,Solanum diversiflorum,predatorprey
Egernia striolata,Solanum gilesii,predatorprey
Egernia striolata,Solanum lasiophyllum,predatorprey
Egernia striolata,Tetragonia eremaea,predatorprey
Egernia striolata,Triodia basedownii,predatorprey
Egernia striolata,Triodia longiceps,predatorprey
Egernia striolata,Triodia pungens,predatorprey
Egernia striolata,Yakirra australiensis,predatorprey
Endoxyla cinerea,Acacia acradenia,predatorprey
Endoxyla cinerea,Acacia aneura,predatorprey
Endoxyla cinerea,Acacia coriacea,predatorprey
Endoxyla cinerea,Acacia cowleana,predatorprey
Endoxyla cinerea,Acacia cuthbertsoni,predatorprey
Endoxyla cinerea,Acacia dictyophleba,predatorprey
Endoxyla cinerea,Acacia kempeana,predatorprey
Endoxyla cinerea,Acacia ligulata,predatorprey
Endoxyla cinerea,Acacia pruinocarpa,predatorprey
Endoxyla cinerea,Acacia spondylophylla,predatorprey
Endoxyla cinerea,Acacia tetragonophylla,predatorprey
Endoxyla leucomochla,Acacia acradenia,predatorprey
Endoxyla leucomochla,Acacia aneura,predatorprey
Endoxyla leucomochla,Acacia coriacea,predatorprey
Endoxyla leucomochla,Acacia cowleana,predatorprey
Endoxyla leucomochla,Acacia cuthbertsoni,predatorprey
Endoxyla leucomochla,Acacia dictyophleba,predatorprey
Endoxyla leucomochla,Acacia kempeana,predatorprey
Endoxyla leucomochla,Acacia ligulata,predatorprey
Endoxyla leucomochla,Acacia pruinocarpa,predatorprey
Endoxyla leucomochla,Acacia spondylophylla,predatorprey
Endoxyla leucomochla,Acacia tetragonophylla,predatorprey
Falco longipennis,Amphibolurus burnsi,predatorprey
Falco longipennis,Aprasia striolata,predatorprey
Falco longipennis,Araneidae,predatorprey
Falco longipennis,Bettongia lesueur,predatorprey
Falco longipennis,Blattodea,predatorprey
Falco longipennis,Chilopoda,predatorprey
Falco longipennis,Coleoptera,predatorprey
Falco longipennis,Ctenotus isolepis,predatorprey
Falco longipennis,Ctenotus isolepis,predatorprey
Falco longipennis,Ctenotus leonhardii,predatorprey
Falco longipennis,Ctenotus leonhardii,predatorprey
Falco longipennis,Ctenotus robustus,predatorprey
Falco longipennis,Ctenotus robustus,predatorprey
Falco longipennis,Ctenotus strauchii,predatorprey
Falco longipennis,Dasycercus cristicauda,predatorprey
Falco longipennis,Dasycercus hilleri,predatorprey
Falco longipennis,Dasyurus hallucatus,predatorprey
Falco longipennis,Formicidae,predatorprey
Falco longipennis,Heteronotia binoei,predatorprey
Falco longipennis,Leiolopisma metallicum,predatorprey
Falco longipennis,Leiolopisma trilineatum,predatorprey
Falco longipennis,Lepidoptera,predatorprey
Falco longipennis,Oedura marmorata,predatorprey
Falco longipennis,Orthoptera,predatorprey
Falco longipennis,Suta suta,predatorprey
Fulica atra,Bdelloid,predatorprey
Fulica atra,Brachionus sp.,predatorprey
Fulica atra,Cephalodella sp.,predatorprey
Fulica atra,Lemna disperma,predatorprey
Fulica atra,Myriophyllum crispatum,predatorprey
Fulica atra,Nematodes,predatorprey
Fulica atra,Ostracods,predatorprey
Fulica atra,Protozoans (ciliates),predatorprey
Fulica atra,Typha dominguensis,predatorprey
Fulica atra,Typha orientalis,predatorprey
Hemiergis peronii,Araneidae,predatorprey
Hemiergis peronii,Chilopoda,predatorprey
Hemiergis peronii,Chortoicetes terminifera,predatorprey
Hemiergis peronii,Coleoptera,predatorprey
Hemiergis peronii,Endoxyla cinerea,predatorprey
Hemiergis peronii,Endoxyla leucomochla,predatorprey
Hemiergis peronii,Lepidoptera,predatorprey
Hemiergis peronii,Scorpionida,predatorprey
Hemiergis peronii,Trigona sp.,predatorprey
Heteronotia binoei,Chilopoda,predatorprey
Heteronotia binoei,Chortoicetes terminifera,predatorprey
Heteronotia binoei,Coleoptera,predatorprey
Heteronotia binoei,Lepidoptera,predatorprey
Isodon auratus,Acacia acradenia,predatorprey
Isodon auratus,Acacia aneura,predatorprey
Isodon auratus,Acacia coriacea,predatorprey
Isodon auratus,Acacia cowleana,predatorprey
Isodon auratus,Acacia cuthbertsoni,predatorprey
Isodon auratus,Acacia dictyophleba,predatorprey
Isodon auratus,Acacia kempeana,predatorprey
Isodon auratus,Acacia ligulata,predatorprey
Isodon auratus,Acacia pruinocarpa,predatorprey
Isodon auratus,Acacia spondylophylla,predatorprey
Isodon auratus,Acacia tetragonophylla,predatorprey
Isodon auratus,Araneidae,predatorprey
Isodon auratus,Blattodea,predatorprey
Isodon auratus,Chilopoda,predatorprey
Isodon auratus,Coleoptera,predatorprey
Isodon auratus,Daucus glochidiatus,predatorprey
Isodon auratus,Eremophila longifolia,predatorprey
Isodon auratus,Formicidae,predatorprey
Isodon auratus,Nitraria billardierei,predatorprey
Isodon auratus,Tetragonia eremaea,predatorprey
Leggadina forresti,Araneidae,predatorprey
Leggadina forresti,Blattodea,predatorprey
Leggadina forresti,Chilopoda,predatorprey
Leggadina forresti,Coleoptera,predatorprey
Leggadina forresti,Eragrostis eriopoda,predatorprey
Leggadina forresti,Eragrostis lanipes,predatorprey
Leggadina forresti,Eragrostis setifolia,predatorprey
Leggadina forresti,Lepidoptera,predatorprey
Leggadina forresti,Panicum decompositum,predatorprey
Leggadina forresti,Plectrachne schinzii,predatorprey
Leggadina forresti,Rhyncharrhena linearis,predatorprey
Leggadina forresti,Thyridolepis multiculmis,predatorprey
Leggadina forresti,Triodia longiceps,predatorprey
