Species	#	Conn	Mod	AicG	*TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime
Fire	43	1	0	0	34	80	0	80	T	1	2.174	3	2.151	0.492	0	4	0.002253	86.59
Dromaius_novaehollandiae	44	1	0	0	34	28	2	30	I	1	2.202	3	2.123	0.4802	0.75	3	0.002359	202.8
Blattodea	45	1	0	0	33	0	43	43	B	0	0	0	1	0	0.04813	3	0.01798	85.01
Orthoptera	46	1	0	0	33	0	19	19	B	0	0	0	1	0	0.08587	3	0.007335	155.5
Camponotus_inflatus	47	1	0	0	33	0	11	11	B	0	0	0	1	0	0	4	0.008914	225.6
Formicidae	48	1	0	0	33	0	30	30	B	0	0	0	1	0	0.02556	4	0.01667	111.7
Yakirra_australiensis	49	1	0	0	32	0	10	10	B	0	0	0	1	0	0.07	3	0.003714	231.4
Thyridolepis_multiculmis	50	1	0	0	32	0	8	8	B	0	0	0	1	0	0	4	0.003471	263.4
Rhyncharrhena_linearis	51	1	0	0	32	0	6	6	B	0	0	0	1	0	0.1111	3	0.00316	287.5
Psylla_eucalypti	52	1	0	0	31	0	2	2	B	0	0	0	1	0	0.75	3	0.002355	403.5
Enchylaena_tomentosa	53	1	0	0	31	0	4	4	B	0	0	0	1	0	0.25	3	0.002467	355.8
Cucumis_melo_(agrestis)	54	1	0	0	31	0	3	3	B	0	0	0	1	0	0.3333	3	0.002383	380.4
Chenopodium_curvispicatum	55	1	0	0	31	0	3	3	B	0	0	0	1	0	0	4	0.002434	389.4
Chioromyces_aboriginum	56	1	0	0	31	0	2	2	B	0	0	0	1	0	0.25	3	0.002314	411.3
Scorpionida	57	1	0	0	30	0	12	12	B	0	0	0	1	0	0.08333	4	0.005599	199.6
Chortoicetes_terminifera	58	1	0	0	30	0	7	7	B	0	0	0	1	0	0	4	0.005079	258
Trigona_sp.	59	1	0	0	30	0	10	10	B	0	0	0	1	0	0	4	0.005737	216.4
Fulica_atra	60	1	0	0	29	10	4	14	I	1	1	1	2	0	0.5625	3	0.002554	473.7
Eucalyptus_opaca	61	1	0	0	28	0	3	3	B	0	0	0	1	0	0.3333	3	0.002628	375.9
Allocasuarina_decaisneana	62	1	0	0	28	0	3	3	B	0	0	0	1	0	0.3333	3	0.002546	380.1
Mycoclelandia_bulundarii	63	1	0	0	28	0	1	1	B	0	0	0	1	0	0	3	0.002286	438.5
Tecticornia_verrucosa	64	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Cynanchum_floribundum	65	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Capparis_loranthifolia	66	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Canthium_latifolium	67	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Canthium_attenuatum	68	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Amyema_sp.	69	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Capparis_umbonata	70	1	0	0	27	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9
Dasycercus_cristicauda	71	1	0	0	26	14	4	18	I	1	1	1	2	0	0.1875	3	0.002724	332.6
Dasycercus_hilleri	72	1	0	0	26	14	4	18	I	1	1	1	2	0	0.1875	3	0.002724	332.6
Acacia_dictyophleba	73	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_tetragonophylla	74	1	0	0	25	0	7	7	B	0	0	0	1	0	0.08163	3	0.003675	277.8
Acacia_ligulata	75	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_coriacea	76	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_cuthbertsoni	77	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_aneura	78	1	0	0	25	0	9	9	B	0	0	0	1	0	0.1111	3	0.003828	251.3
Acacia_acradenia	79	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_spondylophylla	80	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_kempeana	81	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_pruinocarpa	82	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Acacia_cowleana	83	1	0	0	25	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4
Bettongia_lesueur	84	1	0	0	24	12	7	19	I	1	1	1	2	0	0.2449	3	0.002901	333.8
Chaeropus_ecaudatus	85	1	0	0	24	9	4	13	I	1	1	1	2	0	0.4375	3	0.002647	528.8
Turnix_velox	86	1	0	0	24	12	3	15	I	1	1	1	2	0	0.4444	3	0.002439	419.5
Taeniopygia_guttata	87	1	0	0	24	19	8	27	I	1	1	1	2	0	0.2031	3	0.002938	197.7
Macropus_rufus	88	1	0	0	24	12	2	14	I	1	1	1	2	0	0.75	3	0.002359	457.8
Macropus_robustus	89	1	0	0	24	13	3	16	I	1	1	1	2	0	0.6667	3	0.002476	391.3
Perameles_eremiana	90	1	0	0	24	12	4	16	I	1	1	1	2	0	0.4375	3	0.002647	396.6
Oryctolagus_cuniculus	91	1	0	0	24	19	2	21	I	1	1	1	2	0	0.5	3	0.002355	290.8
Stiltia_isabella	92	1	0	0	23	5	2	7	I	1	1	1	2	0	0.25	3	0.002406	1107
Pygopus_schraderi	93	1	0	0	23	5	2	7	I	1	1	1	2	0	0.25	3	0.002406	1107
Sminthopsis_macroura	94	1	0	0	23	3	1	4	I	1	1	1	2	0	0	4	0.00233	2019
Tachyglossus_aculeatus	95	1	0	0	22	3	8	11	I	1	1	1	2	0	0.1875	3	0.002931	1272
