predator,prey,weight
Dromaius novaehollandiae,Leiolopisma trilineatum,1
Dromaius novaehollandiae,Nitraria billardierei,2
Dromaius novaehollandiae,Plectrachne schinzii,2
Dromaius novaehollandiae,Ptilotus exaltatus,2
Dromaius novaehollandiae,Santalum acuminatum,10
Dromaius novaehollandiae,Tecticornia verrucosa,2
Dromaius novaehollandiae,Tetragonia eremaea,10
Dromaius novaehollandiae,Thyridolepis multiculmis,1
Dromaius novaehollandiae,Eremophila latrobei,1
Egernia kintorei,Blattodea,15
Egernia kintorei,Formicidae,1
Egernia kintorei,Plectrachne schinzii,6
Egernia kintorei,Scaevola parvifolia,6
Egernia kintorei,Senna sp.,6
Egernia kintorei,Solanum centrale,6
Egernia kintorei,Solanum chippendalei,6
Egernia kintorei,Solanum cleistogamum,6
Egernia kintorei,Solanum diversiflorum,6
Egernia kintorei,Solanum gilesii,6
Egernia kintorei,Solanum lasiophyllum,6
Egernia kintorei,Tetragonia eremaea,6
Egernia kintorei,Triodia basedownii,6
Egernia kintorei,Triodia longiceps,6
Egernia kintorei,Triodia pungens,6
Egernia kintorei,Yakirra australiensis,6
Egernia striata,Blattodea,45
Egernia striata,Camponotus inflatus,3
Egernia striata,Formicidae,45
Egernia striata,Plectrachne schinzii,0.5
Egernia striata,Scaevola parvifolia,0.5
Egernia striata,Senna sp.,0.5
Egernia striata,Solanum centrale,0.5
Egernia striata,Solanum chippendalei,0.5
Egernia striata,Solanum cleistogamum,0.5
Egernia striata,Solanum diversiflorum,0.5
Egernia striata,Solanum gilesii,0.5
Egernia striata,Solanum lasiophyllum,0.5
Egernia striata,Tetragonia eremaea,0.5
Egernia striata,Triodia basedownii,0.5
Egernia striata,Triodia longiceps,0.5
Egernia striata,Triodia pungens,0.5
Egernia striata,Yakirra australiensis,0.5
Egernia striolata,Blattodea,45
Egernia striolata,Camponotus inflatus,3
Egernia striolata,Formicidae,45
Egernia striolata,Plectrachne schinzii,0.5
Egernia striolata,Scaevola parvifolia,0.5
Egernia striolata,Senna sp.,0.5
Egernia striolata,Solanum centrale,0.5
Egernia striolata,Solanum chippendalei,0.5
Egernia striolata,Solanum cleistogamum,0.5
Egernia striolata,Solanum diversiflorum,0.5
Egernia striolata,Solanum gilesii,0.5
Egernia striolata,Solanum lasiophyllum,0.5
Egernia striolata,Tetragonia eremaea,0.5
Egernia striolata,Triodia basedownii,0.5
Egernia striolata,Triodia longiceps,0.5
Egernia striolata,Triodia pungens,0.5
Egernia striolata,Yakirra australiensis,0.5
Endoxyla cinerea,Acacia acradenia,10
Endoxyla cinerea,Acacia aneura,9
