"predator","prey","From","To","Type"
"Camelus dromedarius","Panicum decompositum","camel","spinifex","Predator-prey"
"Camelus dromedarius","Plectrachne schinzii","camel","spinifex","Predator-prey"
"Camelus dromedarius","Ptilotus polystachyus","camel","forb","Predator-prey"
"Camelus dromedarius","Santalum acuminatum","camel","bush","Predator-prey"
"Camelus dromedarius","Santalum lanceolatum","camel","bush","Predator-prey"
"Camelus dromedarius","Sida calyxhymenia","camel","bush","Predator-prey"
"Camelus dromedarius","Solanum centrale","camel","solanum","Predator-prey"
"Camelus dromedarius","Solanum chippendalei","camel","solanum","Predator-prey"
"Camelus dromedarius","Solanum cleistogamum","camel","solanum","Predator-prey"
"Camelus dromedarius","Solanum diversiflorum","camel","solanum","Predator-prey"
"Camelus dromedarius","Solanum gilesii","camel","solanum","Predator-prey"
"Camelus dromedarius","Solanum lasiophyllum","camel","solanum","Predator-prey"
"Camelus dromedarius","Tecticornia verrucosa","camel","bush","Predator-prey"
"Camelus dromedarius","Thryptomene maisonneuve","camel","bush","Predator-prey"
"Camelus dromedarius","Thyridolepis multiculmis","camel","spinifex","Predator-prey"
"Camelus dromedarius","Triodia basedownii","camel","spinifex","Predator-prey"
"Camelus dromedarius","Triodia longiceps","camel","spinifex","Predator-prey"
"Camelus dromedarius","Triodia longiceps","camel","spinifex","Predator-prey"
"Camelus dromedarius","Triodia pungens","camel","spinifex","Predator-prey"
"Camelus dromedarius","Triodia pungens","camel","spinifex","Predator-prey"
"Camelus dromedarius","Yakirra australiensis","camel","spinifex","Predator-prey"
"Camelus dromedarius","Grevillea eriostachya","camel","wama","Predator-prey"
"Camelus dromedarius","Grevillea stenobotrya","camel","wama","Predator-prey"
"Camelus dromedarius","Grevillea wickhamii","camel","wama","Predator-prey"
"Chaeropus ecaudatus","Eragrostis eriopoda","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Eragrostis lanipes","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Eragrostis setifolia","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Panicum decompositum","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Plectrachne schinzii","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Ptilotus polystachyus","small mammal","forb","Predator-prey"
"Chaeropus ecaudatus","Triodia basedownii","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Triodia longiceps","small mammal","spinifex","Predator-prey"
"Chaeropus ecaudatus","Triodia pungens","small mammal","spinifex","Predator-prey"
"Corvus cecilae","Acacia acradenia","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia aneura","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia coriacea","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia cowleana","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia cuthbertsoni","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia dictyophleba","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia kempeana","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia ligulata","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia pruinocarpa","bird","Acacia","Predator-prey"
"Corvus cecilae","Acacia spondylophylla","bird","Acacia","Predator-prey"
"Corvus cecilae","Blattodea","bird","insect","Predator-prey"
